Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0603_1608Metric,108,-110.5,270,top
C2,2200pF,C_0603_1608Metric,122.5,-110.5,90,top
C3,0.1uF,C_0603_1608Metric,108,-103.385,270,top
C4,4700pF,C_0603_1608Metric,115.25,-103.385,90,top
C5,10uF,CP_Elec_5x5.4,95.215,-80.5,270,top
C6,100pF,C_0603_1608Metric,143,-103.385,270,top
C7,1000pF,C_0603_1608Metric,143,-96.27,90,top
C8,10uF,CP_Elec_5x5.4,170.215,-80.5,270,top
IC2,CD4069UBM,SOIC-14_3.9x8.7mm_P1.27mm,132.715,-107.5,90,top
Q1,MMBT3904,SOT-23,132.715,-98,90,top
R1,1M,R_0603_1608Metric,157.5,-110.5,90,top
R2,1M,R_0603_1608Metric,115.25,-110.5,90,top
R4,1M,R_0603_1608Metric,122.5,-103.385,90,top
R5,47K,R_0603_1608Metric,122.5,-96.27,270,top
R6,1M,R_0603_1608Metric,150.25,-110.5,270,top
R7,10K,R_0603_1608Metric,150.25,-103.385,90,top
R8,10K,R_0603_1608Metric,157.5,-103.385,270,top
R9,10K,R_0603_1608Metric,143,-110.5,270,top
R10,100K,R_0603_1608Metric,132.715,-93,0,top
R12,22K,R_0603_1608Metric,108,-96.27,90,top
R13,22K,R_0603_1608Metric,157.5,-96.27,90,top
