Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22nF,C_0805_2012Metric,93.726,-94.234,180,top
C2,47pF,C_0805_2012Metric,98.552,-105.537,0,top
C3,100pF,C_0805_2012Metric,105.156,-90.678,0,top
C4,1uF,CP_Elec_6.3x5.3,146.465,-76.439,270,top
C5,1uF,CP_Elec_6.3x5.3,105.029,-106.426,90,top
C6,4.7nF,C_0805_2012Metric,93.726,-98.298,180,top
C7,2.2nF,C_0805_2012Metric,93.726,-109.093,0,top
C8,2.2nF,C_0805_2012Metric,140.462,-102.362,270,top
C9,100nF,C_0805_2012Metric,140.462,-106.426,270,top
C10,100nF,C_0805_2012Metric,140.462,-110.49,270,top
C11,22nF,C_0805_2012Metric,161.798,-89.027,180,top
C12,10nF,C_0805_2012Metric,177.292,-86.741,90,top
C13,1uF,CP_Elec_6.3x5.3,173.965,-76.439,270,top
C14,1uF,CP_Elec_6.3x5.3,118.965,-76.439,270,top
C15,47nF,C_0805_2012Metric,172.974,-92.964,90,top
C16,15nF,C_0805_2012Metric,147.447,-111.125,0,top
C17,47uF,CP_Elec_6.3x5.7,122.936,-94.615,90,top
C18,100nF,C_0805_2012Metric,124.46,-106.934,180,top
C19,100nF,C_0805_2012Metric,124.46,-111.252,180,top
C20,100uF,CP_Elec_6.3x5.3,142.494,-94.615,90,top
C21,47uF,CP_Elec_6.3x5.7,91.389,-76.439,270,top
C22,47uF,CP_Elec_6.3x5.7,160.274,-106.426,90,top
D1,1N5817,D_SOD-123,115.189,-107.061,180,top
R1,1M,R_0603_1608Metric,98.552,-98.298,180,top
R2,180K,R_0603_1608Metric,98.552,-94.234,0,top
R3,360K,R_0603_1608Metric,93.726,-101.981,180,top
R4,22K,R_0603_1608Metric,111.125,-101.981,0,top
R5,12K,R_0603_1608Metric,105.156,-87.122,0,top
R6,1K,R_0603_1608Metric,150.368,-83.947,0,top
R7,10K,R_0603_1608Metric,98.552,-109.093,0,top
R8,10K,R_0603_1608Metric,93.726,-105.537,0,top
R9,10K,R_0603_1608Metric,98.552,-112.395,0,top
R10,5.1K,R_0603_1608Metric,156.464,-89.027,0,top
R11,20K,R_0603_1608Metric,147.447,-103.505,0,top
R12,10K,R_0603_1608Metric,147.447,-105.791,0,top
R13,1K,R_0603_1608Metric,118.364,-85.09,0,top
R14,2K,R_0603_1608Metric,172.974,-86.614,270,top
R15,20K,R_0603_1608Metric,100.838,-87.122,180,top
R16,10K,R_0603_1608Metric,147.447,-108.331,180,top
R17,2.2K,R_0603_1608Metric,124.46,-102.87,180,top
R18,33,R_0603_1608Metric,115.189,-101.981,0,top
R19,10K,R_0603_1608Metric,110.49,-96.393,270,top
R20,10K,R_0603_1608Metric,98.552,-101.981,180,top
U1,TL072,SOIC-8_3.9x4.9mm_P1.27mm,105.139,-96.27,270,top
