Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22nF,C_0603_1608Metric,105.139,-116,0,top
C2,47pF,C_0603_1608Metric,91.351,-100,180,top
C3,100pF,C_0603_1608Metric,106.25,-98.175,180,top
C4,1uF,CP_Elec_6.3x5.3,146.503,-76.439,270,top
C5,1uF,CP_Elec_6.3x5.3,105.139,-106.5,90,top
C6,4.7nF,C_0603_1608Metric,115.25,-116,180,top
C7,2.2nF,C_0603_1608Metric,142.25,-100,180,top
C8,2.2nF,C_0603_1608Metric,142.25,-104,180,top
C9,100nF,C_0603_1608Metric,142.25,-108,180,top
C10,100nF,C_0603_1608Metric,142.25,-112,180,top
C11,22nF,C_0603_1608Metric,135.215,-92.27,180,top
C12,10nF,C_0603_1608Metric,159.25,-98.175,180,top
C13,1uF,CP_Elec_6.3x5.3,174.003,-76.439,270,top
C14,1uF,CP_Elec_6.3x5.3,118.927,-76.439,270,top
C15,47nF,C_0603_1608Metric,174.003,-100,0,top
C16,15nF,C_0603_1608Metric,150.25,-116,0,top
C17,47uF,CP_Elec_6.3x5.7,123.25,-91,90,top
C18,100nF,C_0603_1608Metric,123.25,-104,180,top
C19,100nF,C_0603_1608Metric,123.25,-108,180,top
C20,100uF,CP_Elec_6.3x5.3,142.25,-91,90,top
C21,47uF,CP_Elec_6.3x5.7,91.351,-76.439,270,top
C22,47uF,CP_Elec_6.3x5.7,160.215,-106.5,90,top
R1,1M,R_0603_1608Metric,160.215,-116,180,top
R2,180K,R_0603_1608Metric,91.351,-106.5,180,top
R3,360K,R_0603_1608Metric,91.351,-92.27,0,top
R4,22K,R_0603_1608Metric,115.25,-112,0,top
R5,12K,R_0603_1608Metric,109.75,-95,180,top
R6,1K,R_0603_1608Metric,150.25,-85,270,top
R7,10K,R_0603_1608Metric,123.25,-112,180,top
R8,10K,R_0603_1608Metric,130.215,-96.27,0,top
R9,10K,R_0603_1608Metric,135.215,-96.27,0,top
R10,5.1K,R_0603_1608Metric,130.215,-92.27,0,top
R11,20K,R_0603_1608Metric,150.25,-104,0,top
R12,10K,R_0603_1608Metric,150.25,-108,0,top
R13,1K,R_0603_1608Metric,155.75,-95,0,top
R14,2K,R_0603_1608Metric,174.003,-92.27,180,top
R15,20K,R_0603_1608Metric,115.25,-85,90,top
R16,10K,R_0603_1608Metric,150.25,-112,180,top
R17,2.2K,R_0603_1608Metric,123.25,-100,180,top
R18,33,R_0603_1608Metric,174.003,-106.5,0,top
R19,10K,R_0603_1608Metric,115.25,-108,180,top
R20,10K,R_0603_1608Metric,115.25,-104,0,top
R22,100K,R_0603_1608Metric,115.25,-91,270,top
R24,100K,R_0603_1608Metric,150.25,-91,270,top
U1,TL072,SOIC-8_3.9x4.9mm_P1.27mm,100.25,-96.27,270,top
U2,PT2399,SOP-16_3.9x9.9mm_P1.27mm,132.715,-105.5,270,top
U3,L78L05_SOT89,SOT-89-3,165.25,-96.52,90,top
