Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,2.2uF,CP_Elec_6.3x5.4,95.25,-80.5,90,top
C2,0.01uF,C_0603_1608Metric,127.75,-96.27,0,top
C3,22uF,CP_Elec_6.3x5.4,170.25,-80.5,90,top
Q1,MMBT3904,SOT-23,115.25,-107,90,top
Q2,MMBT3904,SOT-23,150.25,-107,90,top
R1,33K,R_0603_1608Metric,137.75,-107,180,top
R2,330,R_0603_1608Metric,137.75,-96.27,0,top
R4,100K,R_0603_1608Metric,127.75,-107,0,top
R6,120K,R_0603_1608Metric,105.25,-96.27,270,top
R7,120K,R_0603_1608Metric,160.25,-96.27,90,top
R8,330,R_0603_1608Metric,132.715,-91,180,top
