Value,Designator,Footprint,LCSC Part #,
100nF,"C1,C4,C6,C7,C16,C19",0603,C14663,
10uF,C11,SMD-ECAP-4x5.3,C134721,
2.2nF,C12,0603,C1604,
1nF,C13,0603,C1588,
470pF,C15,0603,C1620,
4.7nF,C17,0603,C53987,
33nF,C18,0603,C21117,
22nF,C2,0603,C21122,
100uF,"C5,C10",SMD-ECAP-6.3x5.3,C134723,
10nF,"C3,C8,C14",0603,C57112,
220nF,C9,0603,C21120,
1N5817,D3,SOD-123,C727113,
1M,"R1,R2",0603,C22935,
470K,R10,0603,C23178,
22K,"R13,R14",0603,C31850,
330K,"R15,R16,R21",0603,C23137,
39K,R19,0603,C23153,
100K,"R3,R4,R5,R8,R9,R17,R20,R23",0603,C25803,
10K,"R6,R11,R12,R22,R24,R25",0603,C25804,
4.7K,"R7,R18",0603,C23162,
TL072,U1,SOIC-8_3.9x4.9x1.27P,C6961,
TL074,U2,SOIC-14_3.9x8.7x1.27P,C12594,
CD4046BE,U3,SOIC-16_3.9x9.9x1.27P,C6542,
,,,,
,,,,
,,,,
,,,,
