Designator,Value,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603_1608Metric,98.552,-100.584,180,top
C2,22nF,C_0603_1608Metric,137.16,-86.868,0,top
C3,10nF,C_0603_1608Metric,127.381,-110.236,180,top
C4,100nF,C_0603_1608Metric,97.028,-99.06,0,top
C5,100uF,CP_Elec_6.3x5.3,147.75,-100.584,90,top
C6,100nF,C_0603_1608Metric,94.742,-105.918,270,top
C7,100nF,C_0603_1608Metric,100.076,-105.156,0,top
C8,10nF,C_0603_1608Metric,108.204,-108.458,0,top
C9,220nF,C_0603_1608Metric,100.089,-108.712,0,top
C10,100uF,CP_Elec_6.3x5.3,117.75,-100.584,90,top
C11,10uF,CP_Elec_4x5.3,109.22,-93.345,0,top
C12,2.2nF,C_0603_1608Metric,156.464,-109.474,0,top
C13,1nF,C_0603_1608Metric,156.477,-106.426,180,top
C14,10nF,C_0603_1608Metric,159.512,-97.282,0,top
C15,470pF,C_0603_1608Metric,109.22,-100.584,0,top
C16,100nF,C_0603_1608Metric,112.268,-100.584,180,top
C17,4.7nF,C_0603_1608Metric,166.751,-97.282,180,top
C18,33nF,C_0603_1608Metric,128.143,-112.522,90,top
C19,100nF,C_0603_1608Metric,167.386,-102.87,90,top
D3,1N5817,D_SOD-123,92.71,-105.918,270,top
R1,1M,R_0603_1608Metric,92.71,-101.854,270,top
R2,1M,R_0603_1608Metric,99.314,-102.933,270,top
R3,100K,R_0603_1608Metric,147.066,-86.36,0,top
R4,100K,R_0603_1608Metric,127.381,-108.585,0,top
R5,100K,R_0603_1608Metric,127.254,-104.902,0,top
R6,10K,R_0603_1608Metric,105.156,-106.934,180,top
R7,4.7K,R_0603_1608Metric,100.139,-106.934,0,top
R8,100K,R_0603_1608Metric,103.378,-103.632,0,top
R9,100K,R_0603_1608Metric,103.441,-105.156,0,top
R10,470K,R_0603_1608Metric,108.204,-106.934,0,top
R11,10K,R_0603_1608Metric,97.79,-105.918,90,top
R12,10K,R_0603_1608Metric,97.028,-102.108,180,top
R13,22K,R_0603_1608Metric,110.49,-107.696,90,top
R14,22K,R_0603_1608Metric,100.076,-110.236,180,top
R15,330K,R_0603_1608Metric,156.464,-110.998,0,top
R16,330K,R_0603_1608Metric,156.464,-107.95,180,top
R17,100K,R_0603_1608Metric,99.314,-98.298,270,top
R18,4.7K,R_0603_1608Metric,100.584,-93.472,180,top
R19,39K,R_0603_1608Metric,161.798,-97.282,270,top
R20,100K,R_0603_1608Metric,109.22,-99.06,0,top
R21,330K,R_0603_1608Metric,156.464,-97.282,0,top
R22,10K,R_0603_1608Metric,164.338,-98.933,270,top
R23,100K,R_0603_1608Metric,112.268,-99.06,180,top
R24,10K,R_0603_1608Metric,132.842,-115.316,0,top
R25,10K,R_0603_1608Metric,167.386,-99.822,90,top
U1,TL072,SOIC-8_3.9x4.9mm_P1.27mm,103.886,-99.822,270,top
U2,TL074,SOIC-14_3.9x8.7mm_P1.27mm,161.798,-105.156,270,top
U3,CD4046BE,SOP-16_3.9x9.9mm_P1.27mm,132.715,-109.22,270,top
