Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.01uF,C_0603_1608Metric,94.742,-100.584,180,top
C2,0.047uF,C_0603_1608Metric,115.316,-102.108,180,top
C3,0.047uF,C_0603_1608Metric,126.238,-105.664,0,top
C4,0.047uF,C_0603_1608Metric,150.25,-106.934,180,top
C5,0.047uF,C_0603_1608Metric,162.715,-107.95,180,top
C6,0.047uF,C_0603_1608Metric,102.715,-80.772,0,top
C7,10uF,CP_Elec_5x5.3,150.25,-85.598,270,top
C8,0.047uF,C_0603_1608Metric,123.27,-102.27,0,top
C9,0.01uF,C_0603_1608Metric,102.87,-97.536,180,top
C10,10uF,CP_Elec_5x5.3,115.25,-85.852,270,top
D1,1N4001,D_SOD-123,123.27,-85.09,180,top
D2,5.1V,D_SOD-323,142.24,-85.09,180,top
R1,470K,R_0603_1608Metric,94.742,-104.902,0,top
R2,10K,R_0603_1608Metric,98.552,-97.536,0,top
R3,470K,R_0603_1608Metric,98.552,-94.234,180,top
R4,10K,R_0603_1608Metric,115.316,-105.664,180,top
R5,10K,R_0603_1608Metric,120.904,-107.442,270,top
R6,22K,R_0603_1608Metric,123.27,-91.5,0,top
R7,22K,R_0603_1608Metric,142.23,-91.5,0,top
R8,10K,R_0603_1608Metric,126.238,-109.728,0,top
R9,10K,R_0603_1608Metric,139.954,-108.966,90,top
R10,10K,R_0603_1608Metric,150.25,-102.108,0,top
R11,22K,R_0603_1608Metric,162.715,-91.948,0,top
R12,10K,R_0603_1608Metric,155.448,-102.108,0,top
R13,10K,R_0603_1608Metric,169.926,-107.442,90,top
R14,10K,R_0603_1608Metric,169.926,-101.6,90,top
R15,22K,R_0603_1608Metric,162.715,-80.772,0,top
R16,150K,R_0603_1608Metric,102.87,-90.932,180,top
R17,150K,R_0603_1608Metric,98.552,-90.932,0,top
R18,56K,R_0603_1608Metric,102.87,-94.234,0,top
R19,150K,R_0603_1608Metric,155.448,-106.934,0,top
R20,10K,R_0603_1608Metric,142.24,-103.632,0,top
R21,3.9M,R_0603_1608Metric,155.956,-85.598,180,top
R22,1M,R_0603_1608Metric,142.23,-100.584,0,top
R23,4.7K,R_0603_1608Metric,150.25,-78.994,0,top
R24,150K,R_0603_1608Metric,107.188,-94.234,0,top
R25,470K,R_0603_1608Metric,108.966,-100.584,0,top
R26,150K,R_0603_1608Metric,108.966,-104.648,0,top
R27,150K,R_0603_1608Metric,107.188,-90.932,0,top
R28,22K,R_0603_1608Metric,145.034,-108.966,270,top
U1,TL072,SOIC-8_3.9x4.9mm_P1.27mm,102.715,-102.696,0,top
U2,TL072,SOIC-8_3.9x4.9mm_P1.27mm,132.715,-107.696,0,top
U3,TL072,SOIC-8_3.9x4.9mm_P1.27mm,162.715,-102.696,0,top
