Comment,Designator,Footprint,LCSC
100uF,C1,Capacitor_SMD:CP_Elec_6.3x5.4,C129250
22uF,"C3,C8,C10",Capacitor_SMD:CP_Elec_6.3x5.4,C116086
47nF,C5,Capacitor_SMD:C_0805_2012Metric,C53134
4.7uF,"C2,C4,C7",Capacitor_SMD:CP_Elec_3x5.3,C249551
10uF,"C6,C9",Capacitor_SMD:CP_Elec_5x5.4,C72487
1N4001,D4,Diode_SMD:D_SOD-123,C162732
1M,"R1,R8",Resistor_SMD:R_0805_2012Metric,C17514
330K,R10,Resistor_SMD:R_0805_2012Metric,C17629
47K,"R2,R3,R11",Resistor_SMD:R_0805_2012Metric,C17713
220,R13,Resistor_SMD:R_0805_2012Metric,C17557
27K,R16,Resistor_SMD:R_0805_2012Metric,C17593
6.8K,"R5,R17",Resistor_SMD:R_0805_2012Metric,C17772
2.2K,"R6,R7,R12,R14,R15,R18",Resistor_SMD:R_0805_2012Metric,C17520
470K,R4,Resistor_SMD:R_0805_2012Metric,C17709
15K,R9,Resistor_SMD:R_0805_2012Metric,C17475
