Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100uF,CP_Elec_6.3x5.4,132.715,-105.41,270,top
C2,4.7uF,CP_Elec_3x5.3,106.045,-95.885,90,top
C3,22uF,CP_Elec_6.3x5.4,160.02,-93.345,270,top
C4,4.7uF,CP_Elec_3x5.3,115.57,-105.41,90,top
C5,47nF,C_0805_2012Metric,100.33,-102.87,270,top
C6,10uF,CP_Elec_5x5.4,150.25,-104.775,270,top
C7,4.7uF,CP_Elec_3x5.3,141.605,-93.345,270,top
C8,22uF,CP_Elec_6.3x5.4,102.235,-78.105,270,top
C9,10uF,CP_Elec_5x5.4,123.825,-93.345,270,top
C10,22uF,CP_Elec_6.3x5.4,163.195,-78.105,270,top
D4,1N4001,D_SOD-123,132.715,-91.44,180,top
R1,1M,R_0805_2012Metric,104.14,-109.855,270,top
R2,47K,R_0805_2012Metric,107.95,-109.855,90,top
R3,47K,R_0805_2012Metric,100.33,-95.885,270,top
R4,470K,R_0805_2012Metric,121.92,-101.6,270,top
R5,6.8K,R_0805_2012Metric,143.51,-101.6,270,top
R6,2.2K,R_0805_2012Metric,139.7,-101.6,90,top
R7,2.2K,R_0805_2012Metric,125.73,-101.6,90,top
R8,1M,R_0805_2012Metric,161.925,-109.855,90,top
R9,15K,R_0805_2012Metric,124.46,-85.725,90,top
R10,330K,R_0805_2012Metric,132.715,-81.915,0,top
R11,47K,R_0805_2012Metric,128.27,-81.915,180,top
R12,2.2K,R_0805_2012Metric,102.235,-86.995,270,top
R13,220,R_0805_2012Metric,140.97,-85.725,270,top
R14,2.2K,R_0805_2012Metric,137.16,-81.915,0,top
R15,2.2K,R_0805_2012Metric,165.735,-102.235,270,top
R16,27K,R_0805_2012Metric,165.735,-109.855,270,top
R17,6.8K,R_0805_2012Metric,158.115,-109.855,90,top
R18,2.2K,R_0805_2012Metric,100.33,-109.855,270,top
