Designator,Value,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0603_1608Metric,131.7244,-104.0892,270,top
C2,470pF,C_0603_1608Metric,133.9596,-104.8512,180,top
C3,0.1uF,C_0603_1608Metric,123.8758,-82.7023,270,top
C4,0.1uF,C_0603_1608Metric,121.8438,-82.7533,90,top
C5,0.1uF,C_0603_1608Metric,130.0988,-89.0777,90,top
C6,470pF,C_0603_1608Metric,119.4308,-89.5858,90,top
C7,0.1uF,C_0603_1608Metric,132.5372,-94.0308,0,top
C8,0.1uF,C_0603_1608Metric,127.6351,-95.758,0,top
C9,470pF,C_0603_1608Metric,130.9369,-101.6508,0,top
C10,4.7nF,C_0603_1608Metric,130.8608,-82.7024,270,top
C11,0.012uF,C_0603_1608Metric,126.0856,-82.7024,90,top
C12,0.1uF,C_0603_1608Metric,129.1844,-82.7024,270,top
C13,0.1uF,C_0603_1608Metric,134.5438,-82.7533,90,top
D1,1N914,D_SOD-323F,127.5588,-89.2048,0,top
D2,1N914,D_SOD-323F,127.5588,-91.2368,180,top
D3,1N914,D_SOD-323F,123.2662,-97.917,0,top
D4,1N914,D_SOD-323F,123.3932,-99.822,180,top
Q1,2N3904,SOT-23,123.8758,-86.2838,270,top
Q2,2N3904,SOT-23,127.4978,-86.3948,90,top
Q3,2N3904,SOT-23,130.1496,-98.9076,90,top
Q4,2N3904,SOT-23,136.017,-86.376,90,top
R1,33K,R_0603_1608Metric,130.2004,-104.0892,270,top
R2,100K,R_0603_1608Metric,124.8918,-89.5603,90,top
R3,470K,R_0603_1608Metric,133.9849,-103.3272,0,top
R4,10K,R_0603_1608Metric,134.7724,-100.9904,90,top
R5,100,R_0603_1608Metric,119.3038,-86.0298,270,top
R6,560,R_0603_1608Metric,119.888,-82.7278,90,top
R7,10K,R_0603_1608Metric,121.0818,-86.0043,270,top
R8,100K,R_0603_1608Metric,131.6736,-89.0779,270,top
R9,470K,R_0603_1608Metric,121.0818,-89.5603,270,top
R10,10K,R_0603_1608Metric,125.984,-93.98,0,top
R11,100,R_0603_1608Metric,133.4008,-89.0779,270,top
R12,10K,R_0603_1608Metric,129.2099,-94.0308,180,top
R13,100K,R_0603_1608Metric,133.096,-99.06,90,top
R14,470K,R_0603_1608Metric,137.16,-103.505,180,top
R15,100,R_0603_1608Metric,131.9023,-96.012,0,top
R16,10K,R_0603_1608Metric,122.6565,-96.012,0,top
R17,33K,R_0603_1608Metric,127.6096,-82.6769,90,top
R18,33K,R_0603_1608Metric,132.5372,-82.6769,90,top
R19,470K,R_0603_1608Metric,130.0988,-86.0298,90,top
R20,100K,R_0603_1608Metric,132.4103,-85.2424,0,top
R21,10K,R_0603_1608Metric,136.8552,-92.4813,90,top
R22,2.7K,R_0603_1608Metric,136.0424,-89.8652,180,top
R23,100K,R_0603_1608Metric,122.5804,-103.7591,90,top
